BRAND NAME,PRODUCT NAME,CATEGORY,SUBCATEGORY,INGREDIENTS,NOVA Group
Coca cola,Original Taste - Coca cola - 1,"Beverages and beverages preparations,  Beverages"," Colas,  Sweetened beverages","water, fructose - glucose syrup, carbon dioxide, colorant: e150d, acid: phosphoric acid, natural flavorings (including caffeine)",Food processing level unknown
"LU, Mondelez",Figolu - LU - 192 g (12 x 16 g),"Snacks,  Sweet snacks"," Filled biscuits,  Biscuit filled with fruit paste","wheat flour 34%, fig paste 26%, sugar, palm oil, glucose syrup, partially inverted sugar syrup, salt, baking powder (sodium carbonates, ammonium carbonates), acidity corrector (citric acid)",Ultra processed foods
Poulain,Poulain grand arôme - 450 g,"Beverages,  Cocoa and its products"," Chocolate powders,  B",": 
                    
                    Cacao maigre (11% de beurre de cacao) en poudre (50%), sucre, arôme. Peut contenir lait et soja.",Ultra processed foods
Hépar,hepar - 1 L,"Beverages,  Waters"," Natural mineral waters,  Non-carbonated natural mineral waters",natural mineral water,Food processing level unknown
Vittel,eau minerale - Vittel - 1500 ml,"Beverages,  Waters"," Unsweetened beverages,  Natural mineral waters",natural mineral water,Food processing level unknown
KRISPROLLS,Krisprolls - 425 g,"Plant-based foods and beverages,  Plant-based foods"," Toasted bread rolls,  Wholemeal rusks","whole blé flour (63%), blé flour, vegetable oils (palme, colza), yeast, orge malt, salt",Processed foods
"St Hubert, St hubert omega 3",Oméga 3® Doux - St Hubert - 250 g,"Plant-based foods and beverages,  Plant-based foods"," Plant-based pâtés,  50-63-unsalted-vegetable-fat-margarine-type-high-in-omega-3","oils and stéarines plant 49 % (rapeseed, coconut, linseed, shea), water, emulsifiers (mono-and diglycerides of fatty acids, soy lecithin ), salt, flavourings, stabiliser (pectins), colour (beta-carotene), vitamin b1,",Ultra processed foods
Gerblé,Levure de bière - Gerblé - 150 g,"Food additives,  Yeast","Food additives,  Yeast","brewer's yeast flakes 93%, barley malt extract7%",Unprocessed or minimally processed foods
LU,Granola - LU - 200 g e,"Snacks,  Sweet snacks"," Digestives covered with chocolate,  Shortbread cookie with chocolate","wheat flour 48%, milk chocolate 27% sugar, cocoa mass, cocoa butter, whey powder (from milk), skimmed milk powder, vegetable fats (palm, shea in varying proportions), concentrated butter, emulsifiers (soy lecithins, e476), lactose (milk), aromamel, vegetable oils (palm, copra), sugar, sugar syrup, wheat bran, baking powder (sodium carbonates,  ammonium carbonates), salt, wheat germ, acidity regulator (citric acid), may contain eggs, nuts, sesame",Ultra processed foods
Primevère,Primevère - 500 g,"Plant-based foods and beverages,  Plant-based foods"," Margarines,  Light margarines","vegetable oils and fats non-hydrogenated 54 % (rapeseed, coconut, palm, palm kernel), water, emulsifiers : mono and diglycerides of fatty acids, sunflower lecithin, salt, natural flavourings, antioxidant : extracts of rosemary, concentrated lemon juice, colouring agents : annatto, curcumin, vitamin b1,",Ultra processed foods
Sunny Via,Sunny Via Agave syrup squeeze bottle 350g - 350 g,"Plant-based foods and beverages,  Plant-based foods"," Simple syrups,  Agave syrups",agave syrup,Unprocessed or minimally processed foods
Harrys,Pain AMS complet - Harrys - 600 g,"Plant-based foods and beverages,  Plant-based foods"," Wholemeal breads,  Wholemeal sliced breads","whole wheat flour 38%, water, blé flour, rapeseed oil, sugar, aroma (contains alcohol), salt, blé gluten, malted seigle flour, vinegar, yeast, aceral extract, may contain traces of oeuf, soja, lait, fruits a coque, sesame graines",Ultra processed foods
COCA-COLA,Coca Cola Zero 500ml - 500 ml,"Beverages,  Carbonated drinks"," Diet sodas,  Diet cola soft drink","water, carbonic acid, colouring, e 150 sweeteners: cyclamate, acesulfame k and aspartame, acidifiers: e 338, acidity regulator: sodium citrates, natural flavourings, flavouring caffeine",Ultra processed foods
"Belin, Mondelez",Monaco - Belin - 100 g e,"Snacks,  Salty snacks"," Appetizers,  Crackers","wheat flour 56.1%, vegetable oils (palm and rapeseed), dried grated emmental 17%, sugar, salt, glucose-fructose syrup, lifting powder (ammonium acid carbonate, sodium acid carbonate), malted barley flour, whey powder (milk), dry yeast, emulsifier (soy lecithin)",Ultra processed foods
"Nestlé, Nestlé Dessert",Nestlé Dessert - 205g,"Snacks,  Desserts"," Dark chocolate bar for cooking with more than 40% cocoa,  Tablette de chocolat au lait","sugar, cocoa paste, cocoa butter, emulsifier sunflower lecithin, natural vanilla aroma madagascar, cocoa: 52% minimum, may contain: nuts, milk",Ultra processed foods
"Pelletier, LU, Mondelez",Pain grillé au blé complet - Pelletier - 500 g e,"Plant-based foods and beverages,  Plant-based foods"," Rusks,  Toasts","wheat flour 87.9%, whole wheat flour 13.3%, yeast, palm oil, glucose-fructose syrup, salt, malted wheat flour, flour processing agent (ascorbic acid), acidifying (lactic acid), rye flour, wheat ferments",Ultra processed foods
Bjorg,Muesli Superfruits - Bjorg - 375 g,"Plant-based foods and beverages,  Plant-based foods"," Mueslis,  Mueslis with fruits","French: 
                    
                    Flocons d'avoine complète 60 %, raisins secs* 18 % (raisins secs*, huile de tournesol*), flocons d'épeautre* complets (blé) 12 %, flocons de blé* complet toasté 5 %, amandes* entières 3 %, canneberges lyophilisées* 0,7 %, cassis lyophilisés* 0,7 %, myrtilles lyophilisées* 0,7 %",Processed foods
